juego;orden_sorteo;temporada_o_anyo;fecha_sorteo;nombre;lugar;dia_semana;hora;bote_promocional;combinacion_ordenada;combinacion_salida;reintegro;complementario;pleno15;estrellas;caballos;primer_premio;serie;fraccion;segundo_premio;bote_real;total_premios;recaudacion;apuestas;cat_1;acertantes_1;premio_1;cat_2;acertantes_2;premio_2;cat_3;acertantes_3;premio_3;cat_4;acertantes_4;premio_4;cat_5;acertantes_5;premio_5;cat_6;acertantes_6;premio_6;cat_7;acertantes_7;premio_7;cat_8;acertantes_8;premio_8;cat_9;acertantes_9;premio_9;cat_10;acertantes_10;premio_10;cat_11;acertantes_11;premio_11;cat_12;acertantes_12;premio_12;cat_13;acertantes_13;premio_13;
Euromillions;6;2012;20/01/2012;;;Friday;00:00;0;2 10 22 27 28;10 28 27 2 22;;;;8 6;;;;;;48.000.000;8.623.178;17.246.356;8.623.178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;5;2012;17/01/2012;;;Tuesday;00:00;0;12 22 30 31 44;12 44 22 30 31;;;;5 6;;;;;;35.000.000;5.707.462;11.414.924;5.707.462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;4;2012;13/01/2012;;;Friday;00:00;0;13 14 21 27 39;39 13 21 14 27;;;;8 6;;;;;;28.000.000;8.692.736;17.385.472;8.692.736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;3;2012;10/01/2012;;;Tuesday;00:00;0;4 9 10 30 40;9 4 30 10 40;;;;9 2;;;;;;15.000.000;5.819.969;11.639.938;5.819.969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;2;2012;06/01/2012;;;Friday;00:00;0;1 6 10 12 31;1 6 10 31 12;;;;7 2;;;;;;73.000.000;8.092.279;16.184.558;8.092.279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;1;2012;03/01/2012;;;Tuesday;00:00;0;3 30 42 45 49;42 30 45 3 49;;;;5 10;;;;;;58.000.000;6.035.410;12.070.820;6.035.410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;86;2011;30/12/2011;;;Friday;00:00;0;16 36 43 44 50;36 44 43 16 50;;;;8 7;;;;;;50.000.000;8.811.785;17.623.570;8.811.785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;85;2011;27/12/2011;;;Tuesday;00:00;0;19 21 25 26 44;26 21 25 19 44;;;;7 3;;;;;;37.000.000;5.359.851;10.719.702;5.359.851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;84;2011;23/12/2011;;;Friday;00:00;0;7 21 22 24 28;22 7 24 28 21;;;;1 11;;;;;;29.000.000;8.196.578;16.393.156;8.196.578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;83;2011;20/12/2011;;;Tuesday;00:00;0;1 9 12 14 48;14 48 1 9 12;;;;7 1;;;;;;15.000.000;5.109.657;10.219.314;5.109.657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;82;2011;16/12/2011;;;Friday;00:00;0;2 5 10 23 31;10 2 23 31 5;;;;5 2;;;;;;46.000.000;8.248.807;16.497.614;8.248.807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;81;2011;13/12/2011;;;Tuesday;00:00;0;7 12 18 33 37;12 37 18 33 7;;;;1 11;;;;;;33.000.000;5.616.157;11.232.314;5.616.157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;80;2011;09/12/2011;;;Friday;00:00;0;12 21 29 44 47;21 12 47 44 29;;;;2 1;;;;;;26.000.000;7.805.933;15.611.866;7.805.933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;79;2011;06/12/2011;;;Tuesday;00:00;0;19 20 21 34 38;34 21 20 38 19;;;;9 3;;;;;;15.000.000;4.357.740;8.715.480;4.357.740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;78;2011;02/12/2011;;;Friday;00:00;0;7 27 30 40 43;27 40 7 43 30;;;;9 8;;;;;;26.000.000;8.212.591;16.425.182;8.212.591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;77;2011;29/11/2011;;;Tuesday;00:00;0;11 25 41 45 50;25 50 11 45 41;;;;7 2;;;;;;15.000.000;5.088.260;10.176.520;5.088.260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;76;2011;25/11/2011;;;Friday;00:00;0;14 19 26 28 34;34 14 26 19 28;;;;5 8;;;;;;35.000.000;8.375.036;16.750.072;8.375.036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;75;2011;22/11/2011;;;Tuesday;00:00;0;16 18 24 38 40;16 40 38 24 18;;;;2 4;;;;;;21.000.000;5.317.231;10.634.462;5.317.231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;74;2011;18/11/2011;;;Friday;00:00;0;4 12 24 39 44;39 44 24 4 12;;;;2 4;;;;;;15.000.000;8.039.699;16.079.398;8.039.699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;73;2011;15/11/2011;;;Tuesday;00:00;0;6 17 22 45 47;47 17 22 6 45;;;;3 11;;;;;;15.000.000;5.217.817;10.435.634;5.217.817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;72;2011;11/11/2011;;;Friday;00:00;0;1 4 18 23 30;30 18 1 4 23;;;;3 7;;;;;;66.000.000;9.774.819;19.549.638;9.774.819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;71;2011;08/11/2011;;;Tuesday;00:00;0;1 4 15 29 40;40 15 4 29 1;;;;1 5;;;;;;53.000.000;6.341.312;12.682.624;6.341.312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;70;2011;04/11/2011;;;Friday;00:00;0;11 14 41 43 50;41 50 11 43 14;;;;9 2;;;;;;45.000.000;9.222.076;18.444.152;9.222.076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;69;2011;01/11/2011;;;Tuesday;00:00;0;14 20 23 45 46;20 45 23 14 46;;;;1 11;;;;;;33.000.000;4.770.993;9.541.986;4.770.993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;68;2011;28/10/2011;;;Friday;00:00;0;16 17 20 39 50;39 16 20 17 50;;;;4 8;;;;;;26.000.000;8.653.134;17.306.268;8.653.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
